"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Tue Aug 03 17:36:48 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","0","","firstPage.FirstPageTest","","firstPage.FirstPageTest","LogoutTest","LogoutTest()",""
"skipped","Tue Aug 03 17:36:48 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","0","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","testDataList","testDataList()",""
"broken","Tue Aug 03 17:36:23 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","25037","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","InputClearModifyData","InputClearModifyData()",""
"skipped","Tue Aug 03 17:36:48 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","0","","firstPage.FirstPageTest","","firstPage.FirstPageTest","SaveToFile","SaveToFile()",""
"skipped","Tue Aug 03 17:36:48 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","0","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest","SearchPagesTest()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","0","","homepage.HomePageTest","","homepage.HomePageTest","testPrivacyAndPolicyLink","testPrivacyAndPolicyLink()",""
"broken","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:36:22 GMT 2021","26526","","sandboxPage.SandBoxPageTest","","sandboxPage.SandBoxPageTest","repeatedData","repeatedData()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","0","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckLogin","pageCheckLogin()",""
"skipped","Tue Aug 03 17:36:48 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","0","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchMorePagesListCheck","SearchMorePagesListCheck()",""
"skipped","Tue Aug 03 17:36:48 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","0","","createAccountPage.createAccountPageTest","","createAccountPage.createAccountPageTest","CreateAccountCheck","CreateAccountCheck()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","0","","homepage.HomePageTest","","homepage.HomePageTest","SearchDataLink","SearchDataLink()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","2","","loginpage.LoginPageTest","","loginpage.LoginPageTest","loginCheck","loginCheck()",""
"skipped","Tue Aug 03 17:36:48 GMT 2021","Tue Aug 03 17:36:48 GMT 2021","0","","searchResultPage.SearchResultPageTest","","searchResultPage.SearchResultPageTest","SearchPagesTest2","SearchPagesTest2()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","0","","loginpage.LoginPageTest","","loginpage.LoginPageTest","ZeroLogIn","ZeroLogIn()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","0","","homepage.HomePageTest","","homepage.HomePageTest","pageCheckCreateAccount","pageCheckCreateAccount()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","0","","loginpage.LoginPageTest","","loginpage.LoginPageTest","invalidLoginCheck","invalidLoginCheck()",""
"skipped","Tue Aug 03 17:35:56 GMT 2021","Tue Aug 03 17:35:56 GMT 2021","0","","homepage.HomePageTest","","homepage.HomePageTest","PrivacyPolicyUse","PrivacyPolicyUse()",""
